id,state,lat,lon
USC00045352,CA,37.495,-119.9858
USC00045356,CA,38.6919,-119.7803
USC00045360,CA,38.4917,-122.1242
USC00045378,CA,38.0131,-122.1142
USC00045385,CA,39.1458,-121.5853
USC00045400,CA,37.885,-119.8561
USC00045449,CA,41.2514,-122.1383
USC00045502,CA,33.5714,-116.0767
USC00045532,CA,37.2858,-120.5117
USC00045598,CA,38.725,-122.5514
USC00045679,CA,40.3458,-121.6092
USC00045721,CA,34.9436,-115.5469
USC00045756,CA,35.0492,-118.1619
USC00045790,CA,34.0192,-118.1053
USC00045795,CA,36.5903,-121.91
USC00045802,CA,36.5928,-121.8556
USC00045866,CA,35.3672,-120.8456
USC00045890,CA,35.4703,-115.5436
USC00045892,CA,35.4592,-115.5311
USC00045915,CA,37.8792,-121.9303
USC00045933,CA,37.3436,-121.6425
USC00046006,CA,34.2308,-118.0711
USC00046027,CA,37.8978,-122.5689
USC00046074,CA,38.2778,-122.2647
USC00046136,CA,39.2467,-121.0008
USC00046144,CA,37.5147,-122.0325
USC00046154,CA,34.9456,-119.6828
USC00046161,CA,34.3933,-118.5939
USC00046162,CA,34.3869,-118.5342
USC00046168,CA,37.2811,-121.0178
USC00046174,CA,38.0047,-120.4864
USC00046175,CA,33.6025,-117.8803
USC00046194,CA,38.9261,-121.5447
USC00046197,CA,33.2775,-115.5239
USC00046252,CA,37.2328,-119.5097
USC00046263,CA,34.2447,-118.525
USC00046328,CA,41.8392,-122.8503
USC00046329,CA,41.85,-122.8833
USC00046336,CA,37.7983,-122.2642
USC00046370,CA,38.3858,-122.9661
USC00046377,CA,33.2097,-117.395
USC00046386,CA,33.1553,-116.1689
USC00046390,CA,32.7461,-116.0006
USC00046399,CA,34.4478,-119.2275
USC00046498,CA,41.3619,-124.0192
USC00046506,CA,39.7458,-122.1997
USC00046508,CA,41.3089,-123.5317
USC00046521,CA,39.5178,-121.5531
USC00046569,CA,34.1981,-119.1753
USC00046572,CA,34.2067,-119.1375
USC00046597,CA,38.7583,-120.5031
USC00046599,CA,37.5917,-122.4717
